EAN,SKU,Sale price,Regular price,Categories,Brand
123123,IC70 WHITE,676,2456.36,Lifestyle Appliances > Speakers,BEC Akustik
12312312,IC70 BLACK,222,2456.36,Lifestyle Appliances > Speakers,BEC Akustik
3432543,IC70S Silver,454,4215.93,Lifestyle Appliances > Speakers,BEC Akustik
4654645,IC100 BLACK,121,2568.97,Lifestyle Appliances > Speakers,BEC Akustik
567657,IC100 WHITE,121,2568.97,Lifestyle Appliances > Speakers,BEC Akustik
678678,IC100 SILVER,423,4567.84,Lifestyle Appliances > Speakers,BEC Akustik
445345,IC120 BLACK,113,2808.27,Lifestyle Appliances > Speakers,BEC Akustik
32423,IC120 WHITE,453,2808.27,Lifestyle Appliances > Speakers,BEC Akustik
24234,IC120 GOLD and SILVER,232,4919.76,Lifestyle Appliances > Speakers,BEC Akustik
45654,Fred (CROSSOVER FILTER FOR 2.1  SET),6868,344.88,Lifestyle Appliances > Speakers,BEC Akustik
